,Yearmonth,Yearmonth_LE,continentExp,continentExp_LE,countriesAndTerritories,countriesAndTerritories_LE,cases,deaths,geoId,countryterritoryCode,popData2019,14_days_1000,case/population%,deaths/population%,kmeans_cluster,predict LR
1,202012,4,Asia,2,Afghanistan,0,298,9,AF,AFG,38041757.0,7.05277624,0.001,0.0,1,427.5837761637046
3,202012,4,Asia,2,Afghanistan,0,63,10,AF,AFG,38041757.0,7.13426564,0.0,0.0,2,427.5837761637046
6,202012,4,Asia,2,Afghanistan,0,200,6,AF,AFG,38041757.0,7.09483529,0.001,0.0,2,427.5837761637046
8,202012,4,Asia,2,Afghanistan,0,234,10,AF,AFG,38041757.0,7.32616004,0.001,0.0,1,427.5837761637046
10,202012,4,Asia,2,Afghanistan,0,119,5,AF,AFG,38041757.0,7.10797874,0.0,0.0,2,427.5837761637046
14,202011,3,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,6.41663317,0.0,0.0,2,353.8067782408854
17,202011,3,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,6.39560365,0.0,0.0,2,353.8067782408854
21,202011,3,Asia,2,Afghanistan,0,252,8,AF,AFG,38041757.0,6.655844,0.001,0.0,1,427.5837761637046
24,202011,3,Asia,2,Afghanistan,0,282,5,AF,AFG,38041757.0,5.6727137999999995,0.001,0.0,2,427.5837761637046
25,202011,3,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,5.03657073,0.0,0.0,2,353.8067782408854
27,202011,3,Asia,2,Afghanistan,0,65,6,AF,AFG,38041757.0,4.57392123,0.0,0.0,2,427.5837761637046
28,202011,3,Asia,2,Afghanistan,0,163,9,AF,AFG,38041757.0,4.65278194,0.0,0.0,2,427.5837761637046
30,202011,3,Asia,2,Afghanistan,0,66,10,AF,AFG,38041757.0,4.23219148,0.0,0.0,2,427.5837761637046
32,202011,3,Asia,2,Afghanistan,0,146,4,AF,AFG,38041757.0,3.84840269,0.0,0.0,2,428.9996364140887
33,202011,3,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,3.4646138999999994,0.0,0.0,2,353.8067782408854
35,202011,3,Asia,2,Afghanistan,0,80,3,AF,AFG,38041757.0,3.69593865,0.0,0.0,2,433.52175261498763
36,202011,3,Asia,2,Afghanistan,0,126,6,AF,AFG,38041757.0,3.65650829,0.0,0.0,2,425.65782434002705
37,202011,3,Asia,2,Afghanistan,0,58,2,AF,AFG,38041757.0,3.53821723,0.0,0.0,2,430.27331056814666
38,202011,3,Asia,2,Afghanistan,0,40,0,AF,AFG,38041757.0,3.5461032999999995,0.0,0.0,2,353.8067782408854
39,202011,3,Asia,2,Afghanistan,0,121,6,AF,AFG,38041757.0,3.74588377,0.0,0.0,2,425.65782434002705
40,202011,3,Asia,2,Afghanistan,0,86,4,AF,AFG,38041757.0,3.78268543,0.0,0.0,2,428.9996364140887
41,202011,3,Asia,2,Afghanistan,0,95,3,AF,AFG,38041757.0,3.78794281,0.0,0.0,2,433.52175261498763
42,202011,3,Asia,2,Afghanistan,0,132,5,AF,AFG,38041757.0,3.76691329,0.0,0.0,2,425.65782434002705
43,202011,3,Asia,2,Afghanistan,0,76,0,AF,AFG,38041757.0,3.57501889,0.0,0.0,2,353.8067782408854
44,202010,2,Asia,2,Afghanistan,0,157,4,AF,AFG,38041757.0,3.55398937,0.0,0.0,2,428.9996364140887
45,202010,2,Asia,2,Afghanistan,0,123,3,AF,AFG,38041757.0,3.26483343,0.0,0.0,2,433.52175261498763
46,202010,2,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,2.94150452,0.0,0.0,2,353.8067782408854
47,202010,2,Asia,2,Afghanistan,0,113,7,AF,AFG,38041757.0,3.02562261,0.0,0.0,2,425.65782434002705
48,202010,2,Asia,2,Afghanistan,0,199,8,AF,AFG,38041757.0,2.90207416,0.001,0.0,2,426.9887792093103
49,202010,2,Asia,2,Afghanistan,0,65,3,AF,AFG,38041757.0,2.71806583,0.0,0.0,2,434.85270748427087
50,202010,2,Asia,2,Afghanistan,0,81,4,AF,AFG,38041757.0,2.79955524,0.0,0.0,2,430.3305912833719
51,202010,2,Asia,2,Afghanistan,0,61,2,AF,AFG,38041757.0,2.58663132,0.0,0.0,2,431.6042654374299
52,202010,2,Asia,2,Afghanistan,0,116,4,AF,AFG,38041757.0,2.45256811,0.0,0.0,2,430.3305912833719
53,202010,2,Asia,2,Afghanistan,0,135,2,AF,AFG,38041757.0,2.35004918,0.0,0.0,2,431.6042654374299
54,202010,2,Asia,2,Afghanistan,0,88,2,AF,AFG,38041757.0,2.17392693,0.0,0.0,2,431.80644074168805
55,202010,2,Asia,2,Afghanistan,0,87,5,AF,AFG,38041757.0,2.10558098,0.0,0.0,2,425.8463018380341
56,202010,2,Asia,2,Afghanistan,0,59,4,AF,AFG,38041757.0,2.25804502,0.0,0.0,2,430.5327665876301
57,202010,2,Asia,2,Afghanistan,0,68,3,AF,AFG,38041757.0,2.21861467,0.0,0.0,2,435.054882788529
58,202010,2,Asia,2,Afghanistan,0,47,4,AF,AFG,38041757.0,2.05826455,0.0,0.0,2,430.5327665876301
59,202010,2,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.94785956,0.0,0.0,2,354.2579870174369
60,202010,2,Asia,2,Afghanistan,0,32,1,AF,AFG,38041757.0,1.99254729,0.0,0.0,2,433.31617653914327
61,202010,2,Asia,2,Afghanistan,0,66,0,AF,AFG,38041757.0,1.94523087,0.0,0.0,2,354.2579870174369
62,202010,2,Asia,2,Afghanistan,0,129,3,AF,AFG,38041757.0,1.81116766,0.0,0.0,2,435.054882788529
63,202010,2,Asia,2,Afghanistan,0,96,4,AF,AFG,38041757.0,1.50361089,0.0,0.0,2,430.5327665876301
64,202010,2,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.25125661,0.0,0.0,2,353.4495882048546
65,202010,2,Asia,2,Afghanistan,0,10,1,AF,AFG,38041757.0,1.34326078,0.0,0.0,2,433.31617653914327
66,202010,2,Asia,2,Afghanistan,0,77,2,AF,AFG,38041757.0,1.33274601,0.0,0.0,2,433.5035106420238
67,202010,2,Asia,2,Afghanistan,0,68,1,AF,AFG,38041757.0,1.1723959,0.0,0.0,2,429.2001081030324
68,202010,2,Asia,2,Afghanistan,0,62,2,AF,AFG,38041757.0,1.05936222,0.0,0.0,2,427.69037230557717
